gene ID,log2FC,p-value
CGI_10022697,0.771253933,3.60997E-12
CGI_10023358,0.711757968,6.04384E-12
CGI_10017654,0.563766751,6.24925E-12
CGI_10028641,0.82848174,6.52531E-12
CGI_10007361,0.899010552,1.15916E-11
CGI_10025773,1.09929951,1.22491E-11
CGI_10024620,0.826305392,1.41594E-11
CGI_10021409,1.171739043,1.82021E-11
CGI_10014616,0.670382483,2.78451E-11
CGI_10009255,0.702149017,3.30329E-11
CGI_10016615,1.161491786,3.70351E-11
CGI_10017308,0.65688613,6.4324E-11
CGI_10016596,1.032456294,1.08112E-10
CGI_10016504,-0.692376538,1.13733E-10
CGI_10001976,1.148864327,1.41262E-10
CGI_10005874,1.129295242,1.5293E-10
CGI_10009621,0.660453157,1.89815E-10
CGI_10007364,0.86141403,2.19636E-10
CGI_10022970,0.612624688,3.03274E-10
CGI_10022585,1.082041845,4.5055E-10
CGI_10002196,0.751331265,4.6781E-10
CGI_10024492,0.66386177,5.32222E-10
CGI_10015030,0.736772009,5.80687E-10
CGI_10005133,0.519518944,6.26771E-10
CGI_10002917,0.523704166,6.35183E-10
CGI_10006117,0.767445715,6.39609E-10
CGI_10018787,0.970737454,6.43148E-10
CGI_10026336,0.814838362,6.43148E-10
CGI_10002015,1.106583962,6.82864E-10
CGI_10007952,0.640807664,7.15536E-10
CGI_10006729,1.040023488,7.5992E-10
CGI_10020681,0.591477832,8.83104E-10
CGI_10028611,0.850011687,8.84249E-10
CGI_10007976,0.716658039,9.51774E-10
CGI_10010738,-0.721561887,1.05593E-09
CGI_10007977,0.879014705,1.2599E-09
CGI_10022210,0.915169059,1.5076E-09
CGI_10004710,1.092823114,1.58101E-09
CGI_10008681,0.59392247,1.76038E-09
CGI_10001591,0.803514936,2.18368E-09
CGI_10006414,0.964931303,2.29626E-09
CGI_10013604,0.571089942,2.29626E-09
CGI_10020475,0.43436926,2.96021E-09
CGI_10005352,0.841746652,3.06082E-09
CGI_10016399,0.778081134,4.72338E-09
CGI_10022707,0.683875351,6.41843E-09
CGI_10008659,0.8065828,6.91215E-09
CGI_10012437,0.745034378,8.41068E-09
CGI_10006927,0.596965208,9.46173E-09
CGI_10009250,-0.430391096,9.81391E-09
CGI_10006925,0.685722802,1.00146E-08
CGI_10023394,0.614285693,1.20842E-08
CGI_10012335,0.708055007,1.24709E-08
CGI_10003079,0.720879998,1.25765E-08
CGI_10026719,0.889796993,1.25765E-08
CGI_10005580,0.452932094,1.34632E-08
CGI_10009620,0.958874796,1.37085E-08
CGI_10005873,1.046762437,1.47865E-08
CGI_10019895,0.887301954,1.73157E-08
CGI_10020847,0.435058783,2.05021E-08
CGI_10016055,0.624780342,2.52912E-08
CGI_10003651,0.583274944,2.94261E-08
CGI_10024293,0.503575833,2.96485E-08
CGI_10013977,0.541512463,3.02267E-08
CGI_10003525,1.01914959,3.04767E-08
CGI_10024733,0.576358804,3.69951E-08
CGI_10001775,-0.718348315,3.8137E-08
CGI_10011414,0.80451552,3.8137E-08
CGI_10012866,0.682138551,4.10135E-08
CGI_10013524,0.758610752,4.31901E-08
CGI_10011344,0.578264323,5.37924E-08
CGI_10017528,0.504675273,6.5743E-08
CGI_10026230,0.547915583,7.04779E-08
CGI_10020646,0.761583185,9.77619E-08
CGI_10022974,0.856848263,9.77619E-08
CGI_10026717,0.983631367,9.77619E-08
CGI_10005211,0.715939337,9.93922E-08
CGI_10005109,0.744083683,1.04603E-07
CGI_10000475,0.919215431,1.07685E-07
CGI_10011327,0.422595919,1.2094E-07
CGI_10021465,0.710807497,1.24407E-07
CGI_10021567,0.417341811,1.47026E-07
CGI_10011562,0.450811481,1.74229E-07
CGI_10005710,0.817000495,1.81912E-07
CGI_10020752,0.812002777,1.81912E-07
CGI_10010983,0.604570778,2.25354E-07
CGI_10015364,0.869300888,2.27587E-07
CGI_10007404,0.956911104,2.30781E-07
CGI_10013040,0.539696119,2.44644E-07
CGI_10016056,0.642225489,3.48863E-07
CGI_10006224,0.811312695,3.50637E-07
CGI_10012980,0.555055079,3.85143E-07
CGI_10002014,0.963286305,4.30813E-07
CGI_10010765,0.5827875,4.61852E-07
CGI_10020470,0.895388975,4.91102E-07
CGI_10010477,0.877438102,5.64497E-07
CGI_10016514,0.824309248,5.92685E-07
CGI_10003960,0.660114679,6.59468E-07
CGI_10024072,0.916756215,6.88728E-07
CGI_10002191,0.571303924,7.2855E-07
CGI_10027911,0.846459938,7.69805E-07
CGI_10016989,0.947410821,7.81091E-07
CGI_10000466,0.720466075,8.49993E-07
CGI_10008854,0.603089681,9.2987E-07
CGI_10015189,0.568364614,1.10408E-06
CGI_10022211,0.808002348,1.19783E-06
CGI_10016266,0.630632603,1.21914E-06
CGI_10016001,0.904006363,1.22176E-06
CGI_10023178,0.615925982,1.36569E-06
CGI_10019897,0.782120421,1.40351E-06
CGI_10009795,0.862827658,1.44476E-06
CGI_10022586,0.751153199,1.45196E-06
CGI_10019361,0.693021973,1.69461E-06
CGI_10025826,0.630861266,1.79917E-06
CGI_10023032,0.925755353,1.8757E-06
CGI_10006083,0.853107761,1.90332E-06
CGI_10005004,0.685522288,1.97014E-06
CGI_10000225,0.901281778,2.0521E-06
CGI_10012482,0.720247452,2.0521E-06
CGI_10010759,0.505153075,2.25665E-06
CGI_10005488,0.425805296,2.40245E-06
CGI_10009722,0.445540768,2.40245E-06
CGI_10000793,0.804160112,2.41831E-06
CGI_10026040,0.882308516,2.46258E-06
CGI_10013720,0.652263932,2.57085E-06
CGI_10024070,0.866018994,2.996E-06
CGI_10019647,0.890673109,3.40544E-06
CGI_10017950,0.744879556,3.49425E-06
CGI_10024671,0.902931846,3.6408E-06
CGI_10010189,0.531634901,4.29105E-06
CGI_10017744,0.502792918,4.42865E-06
CGI_10000686,0.767346305,4.64468E-06
CGI_10006476,0.517014134,4.71797E-06
CGI_10001187,0.620942614,5.0594E-06
CGI_10004837,0.81801372,5.22617E-06
CGI_10007759,0.434418475,5.22617E-06
CGI_10010088,0.736886905,5.22617E-06
CGI_10016342,0.621285834,5.22617E-06
CGI_10023375,0.521227308,5.22617E-06
CGI_10027619,0.636603752,5.49333E-06
CGI_10010192,0.586311192,6.18138E-06
CGI_10002808,0.874412637,6.40228E-06
CGI_10011514,0.596092213,6.50199E-06
CGI_10025253,0.556105113,6.59603E-06
CGI_10027674,0.433691795,7.69066E-06
CGI_10020091,0.79992885,8.01975E-06
CGI_10010123,0.668885639,8.47044E-06
CGI_10028807,0.844579105,8.66748E-06
CGI_10018142,0.540596589,9.53007E-06
CGI_10019154,0.858144326,9.58117E-06
CGI_10022372,0.554330909,9.86415E-06
CGI_10011104,0.572992109,1.03079E-05
CGI_10018874,0.607511135,1.03079E-05
CGI_10027546,0.59304385,1.05008E-05
CGI_10000756,0.628949116,1.16366E-05
CGI_10021930,-0.54767017,1.18513E-05
CGI_10023950,0.440766261,1.20943E-05
CGI_10002519,0.484768982,1.22563E-05
CGI_10023890,0.82905299,1.26266E-05
CGI_10011188,0.360151899,1.30205E-05
CGI_10026441,0.468937237,1.30716E-05
CGI_10022124,0.479221739,1.36208E-05
CGI_10010772,0.854857507,1.52672E-05
CGI_10022834,0.630732955,1.58347E-05
CGI_10012336,0.601285844,1.71523E-05
CGI_10024516,0.491756137,1.72326E-05
CGI_10002459,0.399102848,1.80741E-05
CGI_10020159,0.699714562,1.81585E-05
CGI_10008092,0.742966493,1.92636E-05
CGI_10010393,0.760098663,1.92636E-05
CGI_10019948,0.831884311,1.93656E-05
CGI_10003824,0.613220032,2.03921E-05
CGI_10008839,0.639124334,2.14969E-05
CGI_10018147,0.724541286,2.28835E-05
CGI_10012322,0.504464205,2.34566E-05
CGI_10002997,0.783009159,2.40728E-05
CGI_10005918,0.544705946,2.40728E-05
CGI_10007399,0.41849546,2.40728E-05
CGI_10025457,0.569786816,2.50905E-05
CGI_10007684,0.74603431,2.70799E-05
CGI_10018151,0.796802985,3.0008E-05
CGI_10008312,0.610901336,3.09482E-05
CGI_10006118,0.583788594,3.31117E-05
CGI_10025265,-0.335045381,3.36131E-05
CGI_10004025,0.647648547,3.48359E-05
CGI_10013607,0.630546161,3.48359E-05
CGI_10024627,0.602156226,3.76162E-05
CGI_10021277,0.472712289,4.52676E-05
CGI_10014162,0.402533088,4.95615E-05
CGI_10021566,0.527883735,5.15649E-05
CGI_10027274,0.697846429,5.73868E-05
CGI_10019673,0.6241468,5.77581E-05
CGI_10004656,0.529666764,6.02223E-05
CGI_10014140,0.809285758,6.32521E-05
CGI_10023961,0.449303016,6.34064E-05
CGI_10016288,0.378112585,6.38868E-05
CGI_10023018,0.525916643,6.45618E-05
CGI_10024077,0.444750183,6.70085E-05
CGI_10023427,0.405320248,7.83862E-05
CGI_10026128,0.487597906,7.97308E-05
CGI_10019898,0.688426472,7.98956E-05
CGI_10015363,0.655513292,8.64956E-05
CGI_10026034,0.585516264,8.95955E-05
CGI_10024148,0.361496713,9.02005E-05
CGI_10005614,0.437115391,9.14979E-05
CGI_10017905,0.500469882,9.49184E-05
CGI_10006311,0.717201151,9.58657E-05
CGI_10006926,0.518125888,9.58657E-05
CGI_10027111,0.775157286,9.5866E-05
CGI_10004341,0.687711449,9.87516E-05
CGI_10006232,0.76131571,9.87516E-05
CGI_10024725,0.588735395,0.000101173
CGI_10003770,0.729982775,0.00010336
CGI_10016208,0.669306287,0.00010336
CGI_10020126,0.440924255,0.00010336
CGI_10016164,0.494130372,0.00010761
CGI_10027276,0.53419675,0.000108951
CGI_10001635,0.763312829,0.000113028
CGI_10002381,0.720684921,0.000114391
CGI_10002951,0.557050651,0.000116065
CGI_10003813,0.592719146,0.000118387
CGI_10023093,0.416165138,0.000121402
CGI_10005421,0.620840331,0.000122345
CGI_10015706,0.731280816,0.000122765
CGI_10025092,0.759576925,0.00012377
CGI_10006857,0.535741214,0.000127091
CGI_10008215,0.76067126,0.000135128
CGI_10016513,0.61295185,0.000139079
CGI_10012305,0.68540517,0.000143377
CGI_10014254,0.533998644,0.000143377
CGI_10022328,0.761982023,0.000148075
CGI_10022078,0.644014563,0.000153164
CGI_10023956,-0.319308269,0.000154837
CGI_10025374,0.487263465,0.00016139
CGI_10009150,0.771181029,0.000162027
CGI_10019576,0.668699409,0.000162027
CGI_10008013,0.410273824,0.000170679
CGI_10015422,0.560784477,0.000171819
CGI_10012025,-0.365157467,0.000195967
CGI_10021893,0.386461821,0.000197837
CGI_10014903,0.626449226,0.000198459
CGI_10027453,0.571639642,0.000211685
CGI_10003485,0.610537549,0.000214227
CGI_10012644,0.621346164,0.000215143
CGI_10011338,0.353437437,0.000225659
CGI_10016209,0.537170752,0.000225961
CGI_10006996,0.451775001,0.000227643
CGI_10007800,0.534520204,0.000227643
CGI_10018909,0.576474509,0.000228173
CGI_10004645,0.613943045,0.000234557
CGI_10002791,0.758554492,0.000239982
CGI_10018258,0.45890806,0.000241715
CGI_10009725,0.561322881,0.000259067
CGI_10021366,0.373827538,0.000264795
CGI_10014040,0.414838391,0.000272055
CGI_10027445,0.714491332,0.000280307
CGI_10016704,-0.334203628,0.000292343
CGI_10017070,0.493425018,0.000293659
CGI_10023763,0.546132028,0.000293659
CGI_10005993,0.743997346,0.000340252
CGI_10008959,0.421068537,0.00034642
CGI_10019534,0.465716475,0.00034642
CGI_10008352,0.663922169,0.000351361
CGI_10017042,-0.286025044,0.000354323
CGI_10028750,0.29335316,0.000378395
CGI_10000061,0.667764322,0.000388748
CGI_10009486,0.614204787,0.000388748
CGI_10013829,-0.36255908,0.000395562
CGI_10019246,0.698568539,0.000395562
CGI_10013263,0.451105757,0.000466033
CGI_10007818,0.703939695,0.000472223
CGI_10024071,0.732998079,0.000480986
CGI_10013525,0.352980476,0.000481944
CGI_10005872,0.732152363,0.000492822
CGI_10005590,0.479342512,0.000516419
CGI_10014689,0.512830333,0.00054014
CGI_10009693,0.353034676,0.000542268
CGI_10022051,0.719521965,0.000587482
CGI_10013745,0.724893353,0.000590492
CGI_10007333,0.55005916,0.000590761
CGI_10012981,0.60942877,0.000594471
CGI_10003383,0.541771085,0.000666091
CGI_10006155,0.435491126,0.000669033
CGI_10018145,0.721039859,0.000669033
CGI_10000413,0.671035927,0.000688265
CGI_10022362,0.439751595,0.000696821
CGI_10027278,0.39574106,0.000729687
CGI_10020647,0.451993872,0.000733527
CGI_10001653,0.288822533,0.000766028
CGI_10024780,-0.362269992,0.000780581
CGI_10018742,0.281615788,0.000787145
CGI_10007430,0.440879068,0.000814776
CGI_10001114,0.454459534,0.000868743
CGI_10015861,0.53834403,0.000877658
CGI_10016395,0.419593559,0.000893315
CGI_10008122,-0.451186397,0.000901096
CGI_10018900,-0.379902271,0.000929135
CGI_10017002,0.559745157,0.000953823
CGI_10026383,-0.321776396,0.000975201
CGI_10012053,-0.290167105,0.001021727
CGI_10003845,0.616245906,0.001024818
CGI_10011954,0.699395532,0.001034258
CGI_10019155,0.578949501,0.001057463
CGI_10017281,0.324633916,0.001203197
CGI_10016992,0.696802111,0.001222116
CGI_10005641,0.596135185,0.00122815
CGI_10014323,0.316889932,0.001237652
CGI_10006753,0.57142171,0.001280938
CGI_10015738,0.277269906,0.00134453
CGI_10024298,-0.373590457,0.001367222
CGI_10007534,0.639996423,0.001458597
CGI_10028339,-0.283317751,0.001507384
CGI_10007057,0.363596898,0.001529943
CGI_10006203,0.644142251,0.001590875
CGI_10016698,0.476287908,0.001605455
CGI_10025511,-0.331893017,0.001627356
CGI_10005487,0.472615514,0.001675937
CGI_10006087,0.684445044,0.001701424
CGI_10000241,0.674419888,0.001712375
CGI_10004054,0.320735841,0.001712375
CGI_10027275,0.559851799,0.001751855
CGI_10021733,-0.385221605,0.001751996
CGI_10002342,0.637077271,0.001767949
CGI_10027443,0.665633797,0.001778108
CGI_10020474,-0.299228073,0.001780863
CGI_10020636,-0.317103045,0.001788292
CGI_10013744,0.680521056,0.001789638
CGI_10024294,0.561181449,0.001903228
CGI_10007728,-0.307401214,0.00191662
CGI_10023761,0.422015343,0.001922438
CGI_10026818,0.310064912,0.001938594
CGI_10017233,0.654053177,0.001961618
CGI_10004328,-0.36864141,0.001997557
CGI_10013305,0.668268568,0.002050478
CGI_10014288,0.502548258,0.002096579
CGI_10013980,0.557068384,0.002142872
CGI_10011217,0.607735676,0.00215961
CGI_10021701,0.38605527,0.002208628
CGI_10007234,-0.353836033,0.002213189
CGI_10003697,0.371737408,0.002289047
CGI_10009757,0.510494934,0.002331057
CGI_10010701,0.596337939,0.002379082
CGI_10028122,0.464423381,0.002400902
CGI_10026096,0.600974619,0.002420534
CGI_10008963,0.282425695,0.002444529
CGI_10005238,0.291554471,0.00246909
CGI_10003219,0.540365565,0.002505231
CGI_10007086,0.659495502,0.002558556
CGI_10007405,0.605420093,0.002560377
CGI_10014608,0.573121268,0.002560377
CGI_10001931,0.45290603,0.002594601
CGI_10011447,0.65481495,0.002594601
CGI_10013372,-0.361635242,0.002594601
CGI_10006577,0.370134101,0.002601429
CGI_10016060,0.573216041,0.002601776
CGI_10006635,0.319734293,0.002605762
CGI_10014558,0.486733821,0.002652145
CGI_10018734,0.572292434,0.00268784
CGI_10012983,0.441342403,0.002696811
CGI_10002102,0.642312546,0.002705542
CGI_10028754,0.286065678,0.002777804
CGI_10015808,-0.356775101,0.002821588
CGI_10021883,0.444802576,0.002863111
CGI_10017793,0.561729913,0.002875097
CGI_10021627,0.565170145,0.002882451
CGI_10001978,0.48450612,0.002924511
CGI_10024572,0.36561106,0.002932568
CGI_10015439,0.508047833,0.002946376
CGI_10022061,0.5733591,0.002974485
CGI_10012786,0.384768814,0.002977602
CGI_10006494,0.615010448,0.00304281
CGI_10016120,0.598766474,0.003082724
CGI_10004734,-0.560850312,0.003106858
CGI_10018420,0.440837218,0.00317759
CGI_10019151,0.44370613,0.003224078
CGI_10021005,-0.326474806,0.003234179
CGI_10003945,0.299669706,0.003276456
CGI_10011328,0.488514674,0.003375858
CGI_10017773,-0.286576711,0.003375858
CGI_10018415,0.417949825,0.003375858
CGI_10020303,0.307312848,0.003380532
CGI_10008555,-0.342603565,0.003450357
CGI_10009856,-0.395259761,0.003450357
CGI_10023117,-0.316176917,0.003500884
CGI_10027280,0.483601267,0.003586832
CGI_10006829,0.640201239,0.003753709
CGI_10011417,0.579661779,0.00378962
CGI_10014404,0.416019497,0.00378962
CGI_10022162,-0.268976969,0.003972016
CGI_10027624,0.511391742,0.003983264
CGI_10024295,0.542420667,0.004025562
CGI_10023528,-0.440604791,0.004257215
CGI_10009280,0.288782521,0.004279151
CGI_10012868,0.494763331,0.004302385
CGI_10003635,0.340984169,0.004339843
CGI_10022309,0.36439369,0.004339843
CGI_10022774,-0.315811026,0.004339843
CGI_10016264,0.481702252,0.004370711
CGI_10009320,0.416756915,0.004377658
CGI_10011322,0.261690526,0.004377658
CGI_10026316,0.284191202,0.004377658
CGI_10011852,0.616225449,0.004465102
CGI_10015085,0.443725445,0.00474581
CGI_10007171,0.429948681,0.00474654
CGI_10026075,0.63480866,0.004759679
CGI_10028244,0.564864902,0.004759679
CGI_10017120,-0.632595985,0.004763108
CGI_10028112,-0.421608832,0.004763108
CGI_10016057,0.503995065,0.004968993
CGI_10015863,-0.271410966,0.005018727
CGI_10028343,-0.323147682,0.005039752
CGI_10013640,0.438334657,0.005313964
CGI_10013053,0.554696692,0.005316621
CGI_10004679,-0.431749047,0.005367267
CGI_10009354,-0.308286147,0.005378703
CGI_10026892,0.314705926,0.005405291
CGI_10012780,0.55473387,0.005513231
CGI_10022348,-0.320600056,0.005528426
CGI_10003021,0.310590923,0.005620271
CGI_10025998,0.563453787,0.005769927
CGI_10013190,0.292542628,0.00588185
CGI_10012117,0.327116254,0.005973317
CGI_10027847,-0.255813486,0.006044358
CGI_10005110,0.625870129,0.006065271
CGI_10014981,-0.362867958,0.006065271
CGI_10015035,0.498935752,0.006065271
CGI_10015263,0.488684779,0.006087168
CGI_10010874,-0.421932706,0.006154181
CGI_10025595,0.555654159,0.006379549
CGI_10008967,0.561011437,0.006421822
CGI_10017375,0.61279892,0.006471356
CGI_10015737,0.41936146,0.00659346
CGI_10017658,0.308481095,0.006726254
CGI_10015707,0.547964416,0.006799291
CGI_10002570,0.590184254,0.006945404
CGI_10026468,-0.388184194,0.006945404
CGI_10025205,-0.380474397,0.007094105
CGI_10008501,-0.445644893,0.007108037
CGI_10025955,0.287270264,0.007108037
CGI_10023762,0.49337419,0.007206986
CGI_10009016,0.568327995,0.007286417
CGI_10024759,-0.28413773,0.007424846
CGI_10026682,-0.356327762,0.007530082
CGI_10008180,0.522425123,0.00779128
CGI_10003352,0.363987165,0.007985802
CGI_10026219,-0.376108522,0.0082461
CGI_10012760,0.498724178,0.008275218
CGI_10021527,0.610714804,0.008312584
CGI_10004951,0.545225273,0.008340134
CGI_10012051,0.481810822,0.008350657
CGI_10028219,0.542919306,0.008391857
CGI_10002959,0.590540803,0.008577573
CGI_10002491,0.436449195,0.00860032
CGI_10019943,0.590803332,0.00860032
CGI_10002332,0.484174754,0.008605398
CGI_10006628,0.512112588,0.008741697
CGI_10024296,0.490424511,0.008946039
CGI_10004717,0.366148881,0.009022026
CGI_10008570,0.273719545,0.009068694
CGI_10018431,0.318675261,0.009207196
CGI_10007683,0.449904638,0.009439233
CGI_10021602,0.399539535,0.009479801
CGI_10006540,0.331152218,0.009578142
CGI_10027322,0.450444067,0.00960286
CGI_10007768,0.389563232,0.009627828
CGI_10027341,-0.450035191,0.009739011
CGI_10003254,0.595709326,0.010118702
CGI_10023174,0.408689932,0.010138666
CGI_10011675,-0.49434856,0.010535561
CGI_10019930,0.512748583,0.010684412
CGI_10022732,0.589675979,0.010724937
CGI_10025811,0.463358218,0.010770812
CGI_10015410,0.341260197,0.011240302
CGI_10011763,-0.440237151,0.011371148
CGI_10016700,-0.283165361,0.011432379
CGI_10005750,-0.24194137,0.011500812
CGI_10016265,0.358971321,0.01155201
CGI_10005878,0.285535439,0.01174011
CGI_10019733,0.348961375,0.011753227
CGI_10006025,0.393430715,0.011793457
CGI_10027622,0.481903833,0.011793457
CGI_10022840,-0.28997226,0.011798557
CGI_10026052,0.333174478,0.012009251
CGI_10015814,0.395092598,0.012496078
CGI_10015198,0.430284972,0.012825328
CGI_10009256,0.353447747,0.012967465
CGI_10003562,-0.339630889,0.013028178
CGI_10003269,0.408926827,0.014038987
CGI_10024079,-0.255539388,0.014134448
CGI_10027835,0.339116198,0.014242202
CGI_10019657,0.571730784,0.014242901
CGI_10009832,-0.284961573,0.014246703
CGI_10026216,0.553639386,0.014246703
CGI_10019174,-0.285974924,0.014699675
CGI_10023239,0.37827147,0.014966288
CGI_10017264,-0.292600167,0.01545194
CGI_10012037,-0.323056548,0.015549464
CGI_10006646,-0.448798871,0.015660657
CGI_10023176,0.406601173,0.016074187
CGI_10001129,0.444749209,0.016202768
CGI_10025471,0.576217732,0.016214549
CGI_10007647,-0.442500447,0.016379375
CGI_10021605,-0.294798661,0.016379375
CGI_10020515,-0.304838042,0.016608112
CGI_10026425,-0.256784485,0.016807681
CGI_10012491,0.373209761,0.01739514
CGI_10021761,-0.284422824,0.017525004
CGI_10005452,0.567967566,0.017992955
CGI_10013086,-0.303786588,0.018035047
CGI_10023975,0.557015517,0.018041759
CGI_10022180,0.555290119,0.018094063
CGI_10006217,-0.249568495,0.018162448
CGI_10026924,-0.385537917,0.018357838
CGI_10002768,-0.329085167,0.018362479
CGI_10026276,0.569442727,0.018378612
CGI_10007662,0.241242867,0.018546084
CGI_10028193,0.318145096,0.018788554
CGI_10028323,-0.368690715,0.018904001
CGI_10011903,0.317396261,0.018924529
CGI_10028359,-0.456004784,0.018924529
CGI_10018297,-0.381724018,0.019059483
CGI_10013387,0.472301718,0.0192313
CGI_10023988,0.306734273,0.019512626
CGI_10018615,0.355622541,0.019576531
CGI_10025089,0.540769376,0.019669729
CGI_10009017,0.517030394,0.019760014
CGI_10009393,-0.472375248,0.019882573
CGI_10004544,-0.38391494,0.019892902
CGI_10013006,0.382212023,0.019976635
CGI_10014491,-0.298579694,0.020082371
CGI_10015124,-0.218015448,0.020093062
CGI_10020134,-0.319347275,0.020398973
CGI_10026442,0.537448711,0.020531377
CGI_10023960,0.474774643,0.020877333
